along,вдоль,ru,en
Update remote refs along with associated objects,Обновление удаленных ссылок вместе со связанными объектами,ru,en
DESCRIPTION,ОПИСАНИЕ,ru,en
set,устанавливать,ru,en
In this chapter,В этой главе,ru,en
namespace,Пространство имен,ru,en
Base,База,ru,en
App,Приложение,ru,en
early,рано,ru,en
[Discontunued] Ubuntu Touch port [last update March 13],[Discontunued] Ubuntu Touch port [последнее обновление 13 марта],ru,en
This is not really a workbench but this category serves to collect all "standard" commands and tools of the system which can be used in all workbenches,Это на самом деле не верстак но эта категория предназначена для сбора всех стандартных команд и инструментов системы которые можно использовать во всех верстаках.,ru,en
Introduction,Вступление,ru,en
Base,База,ru,en
The Std Base is not a real workbench,Std Base не настоящий верстак,ru,en
page,страница,ru,en
just,только,ru,en
collects,улавливается,ru,en
Make,Сделать,ru,en
App,Приложение,ru,en
List of header files in Base folder,Список заголовочных файлов в базовой папке,ru,en
register,регистр,ru,en
register type and create instance from name,зарегистрировать тип и создать экземпляр из имени,ru,en
using macro function to make type system and link to Python,использование макрофункции для создания системы типов и ссылки на Python,ru,en
base,база,ru,en
exceptios,exceptios,ru,en
derived,полученный,ru,en
from,из,ru,en
base class for all FreeCAD exceptios derived from BaseClass,базовый класс для всех исключений FreeCAD полученных из BaseClass,ru,en
,,ru,en
,,ru,en
python,питон,ru,en
python,питон,ru,en
python,питон,ru,en
python,питон,ru,en
lang_out=$(echo 'ru') delimiter=$(echo ';') text_wp="$(wget -U "Mozilla/5.0" \ -qO - "http://translate.googleapis.com/translate_a/single?client=gtx&sl=auto&tl=$lang_out&dt=t&q=$(echo $text_in| \ sed "s/[\"'<>]//g")"| \ sed "s/0]].*//g" | \ awk -F'"' '{print $2 $6}' \ )" text_out=$(python /home/mikhaylov_yv/Programming/My_translator/python_script.py \ $text_in $delimiter $lang_out $delimiter $text_wp) notify-send "$(echo $text_out| awk 'BEGIN{FS=";"}{print $1}')" "$(echo $text_out| awk 'BEGIN{FS=";"}{print $2}')",lang_out \u003d $ (echo ru) delimiter \u003d $ (echo;) text_wp \u003d $ (wget -U Mozilla / 5.0 \\ -qO - http://translate.googleapis.com/translate_a/single?client\u003dgtx,ru,en
lang_out=$(echo 'ru') delimiter=$(echo ';') text_wp="$(wget -U "Mozilla/5.0" \ -qO - "http://translate.googleapis.com/translate_a/single?client=gtx&sl=auto&tl=$lang_out&dt=t&q=$(echo $text_in| \ sed "s/[\"'<>]//g")"| \ sed "s/0]].*//g" | \ awk -F'"' '{print $2 $6}' \ )" text_out=$(python /home/mikhaylov_yv/Programming/My_translator/python_script.py \ $text_in $delimiter $lang_out $delimiter $text_wp) notify-send "$(echo $text_out| awk 'BEGIN{FS=";"}{print $1}')" "$(echo $text_out| awk 'BEGIN{FS=";"}{print $2}')",lang_out \u003d $ (echo ru) delimiter \u003d $ (echo;) text_wp \u003d $ (wget -U Mozilla / 5.0 \\ -qO - http://translate.googleapis.com/translate_a/single?client\u003dgtx,ru,en
creates,создает,ru,en
creates,создает,ru,en
creates,создает,ru,en
,,ru,en
sudo cp notitrans /usr/local/bin/notitrans,sudo cp notitrans / usr / local / bin / notitrans,ru,en
sudo cp notitrans /usr/local/bin/notitrans,sudo cp notitrans / usr / local / bin / notitrans,ru,en
BaseClass,BaseClass,ru,en
,,ru,en
,,ru,en
,,ru,en
Python,питон,ru,en
,,ru,en
,,ru,en
origin,происхождения,ru,en
origin,происхождения,ru,en
Mozilla,Mozilla,ru,en
Mozilla,Mozilla,ru,en
create,Создайте,ru,en
create,Создайте,ru,en
create,Создайте,ru,en
unexpected,неожиданный,ru,en
sudo,Судо,ru,en
sudo,Судо,ru,en
не равно,не равно,ru,ru
не равно,не равно,ru,ru
https://github.com/Mikhaylov-yv/My_translator/settings/access,,ru,en
Collaborators,соавторы,ru,en
An open source library for face detection in images. The face detection speed can,Библиотека с открытым исходным кодом для обнаружения лиц на изображениях. 21791a8d07c2303bc1a3f9824e6ec4be Скорость обнаружения лица может,ru,en
Python related,Связанный с питоном,ru,en
Very important and frequently included header file,Очень важный и часто включаемый заголовочный файл,ru,en
Organization of FreeCAD Source Code,Организация исходного кода FreeCAD,ru,en
Overview of Gui module,Обзор модуля Gui,ru,en
Introduction to Python Wrapping,Введение в Python Wrapping,ru,en
Wrapping,Оберточная бумага,ru,en
FEM Module Source Code Analysis,Анализ исходного кода модуля FEM,ru,en
FreeCAD coding style,Стиль кодирования FreeCAD,ru,en
Disccusion,Disccusion,ru,en
coding,кодирование,ru,en
exposed,подвергаются,ru,en
A third-party OAuth application (Freelancehunt.com) with user:email scope was recently authorized to access your account,Стороннее приложение OAuth (Freelancehunt.com) с пользователем: область электронной почты была недавно авторизована для доступа к вашей учетной записи,ru,en
for more information,Чтобы получить больше информации,ru,en
Tengine Overview,Tengine Обзор,ru,en
Tengine,коммутируемая сеть,ru,is
Tengine developed by OPEN AI LAB is a lite high-performance and modular inference engine for embedded device.,Tengine разработанный OPEN AI LAB является легким высокопроизводительным модульным механизмом логического вывода для встроенных устройств.,ru,en
Explore repositories,Исследуйте репозитории,ru,en
According to what experimented in BIM WB.,По тому что экспериментировал в BIM WB.,ru,en
Support Horiz/Vert Dims In Dxf Export,Поддержка Horiz / Vert Dims в Dxf Export,ru,en
Leader,лидер,ru,en
for,за,ru,en
contribute,делать вклад,ru,en
To ease integration please confirm the following,Для облегчения интеграции пожалуйста подтвердите следующее,ru,en
All checks have failed,Все проверки не пройдены,ru,en
tell task editing is complete,сообщить что редактирование задачи завершено,ru,en
merged,слиты,ru,en
And please remember to update the Wiki with the features added or changed once this PR is merged.,И пожалуйста не забудьте обновить Wiki добавленными или измененными функциями после слияния PR.,ru,en
Note,Заметка,ru,en
The Travis CI build failed,Сборка Travis CI не удалась,ru,en
[TD]fix LeaderLine autoHorizontal,[TD] исправить ЛидерЛайн АвтоГоризонт,ru,en
Path: small fix for Python 2 syntax,Путь: небольшое исправление для синтаксиса Python 2,ru,en
[NaviCube] Make customizable the rotation step increment,[NaviCube] Сделать настраиваемый шаг шага вращения,ru,en
And please remember to update the Wiki with the features added or changed once this PR is merged.,И пожалуйста не забудьте обновить Wiki добавленными или измененными функциями после слияния PR.,ru,en
[NaviCube] Add user parameter 'NaviStepsByTurn' to make customizable,[NaviCube] Добавить пользовательский параметр NaviStepsByTurn чтобы сделать настраиваемым,ru,en
customizable,настраиваемый,ru,en
the rotation step increment,шаг шага вращения,ru,en
